"","Quantile","tot_income","tot_sales","Vbp","matprima","tot_capital_val","tot_wages","totalpeoc","totremun","cant_ener","cant_agua"
"1",0,0.675348916879931,0.675348916879931,0.675348916879931,0.675348916879931,0.675348916879931,0.675348916879931,0.675348916879931,0.675348916879931,0.675348916879931,0.675348916879931
"2",0.8,0.65455923667461,0.65455923667461,0.637748171846086,0.666174627939414,0.66106522347742,0.647771121852307,0.665067149570308,0.647771121852307,0.614319688010173,0.601483054901296
"3",0.825,0.65455923667461,0.65455923667461,0.65455923667461,0.684369352993204,0.6340354167991,0.677511168677086,0.66421424460326,0.677511168677086,0.614319688010173,0.560325083144325
"4",0.85,0.65455923667461,0.65455923667461,0.652524376590706,0.739002094823422,0.639774690900446,0.665067149570308,0.68644778017619,0.684229307811547,0.614319688010173,0.560325083144325
"5",0.875,0.65455923667461,0.65455923667461,0.652524376590706,0.732312703343953,0.639774690900446,0.68644778017619,0.649430123416961,0.684229307811547,0.589620824446408,0.560325083144325
"6",0.9,0.696172690814978,0.696172690814978,0.652524376590706,0.732312703343953,0.635424933976799,0.60214887809086,0.60214887809086,0.654437953545474,0.589620824446408,0.623172238546711
"7",0.925,0.659259736470055,0.68644778017619,0.732312703343953,0.732312703343953,0.571760153342188,0.60214887809086,0.6037549053136,0.60214887809086,0.589368460019223,0.623172238546711
"8",0.95,0.695221582677147,0.695221582677147,0.695221582677147,0.695221582677147,0.547069120081189,0.68380388841485,0.68380388841485,0.60214887809086,0.589368460019223,0.639971940840838
"9",0.975,NA,NA,NA,NA,NA,NA,NA,NA,0.639971940840838,NA
"10",0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
