"","Quantile","tot_income","tot_sales","Vbp","matprima","tot_capital_val","tot_wages","totalpeoc","totremun","cant_ener","cant_agua"
"1",0,0.479444231777755,0.479444231777755,0.479444231777755,0.479444231777755,0.479444231777755,0.479444231777755,0.479444231777755,0.479444231777755,0.479444231777755,0.479444231777755
"2",0.8,0.30888792468523,0.30888792468523,0.328174660227597,0.472534210342425,0.318678756389731,0.294197008911243,0.288509137277158,0.296177254018959,0.29510344785647,0.331224034187064
"3",0.825,0.30888792468523,0.30888792468523,0.328174660227597,0.28107440894322,0.318678756389731,0.299466216802794,0.249781362704049,0.30888792468523,0.267943475834266,0.356024135975648
"4",0.85,0.261888548698861,0.261888548698861,0.328174660227597,0.28107440894322,0.322964925065011,0.261888548698861,0.249781362704049,0.315092421936304,0.267943475834266,0.316584728304154
"5",0.875,0.275201992330029,0.275201992330029,0.275201992330029,0.28107440894322,0.322964925065011,0.257631085055805,0.257631085055805,0.261888548698861,0.267943475834266,0.30167204285006
"6",0.9,0.275201992330029,0.275201992330029,0.246281760053489,0.28107440894322,0.288293125972025,0.257631085055805,0.257631085055805,0.261888548698861,0.267943475834266,0.309397586010975
"7",0.925,0.246281760053489,0.246281760053489,0.246281760053489,0.28107440894322,0.30142005958953,0.273740422655322,0.245696391477683,0.275201992330029,0.267943475834266,0.309397586010975
"8",0.95,0.28107440894322,0.28107440894322,0.246281760053489,NA,0.308806744742312,0.28107440894322,NA,0.23112856654499,0.267943475834266,0.554425901235824
"9",0.975,0.28107440894322,0.28107440894322,0.28107440894322,NA,0.246281760053489,0.28107440894322,NA,0.28107440894322,0.267943475834266,0.554425901235824
"10",0.99,0.28107440894322,NA,0.28107440894322,NA,0.23112856654499,NA,NA,0.28107440894322,0.237995227890693,NA
