"","Quantile","tot_income","tot_sales","Vbp","matprima","tot_capital_val","tot_wages","totalpeoc","totremun","cant_ener","cant_agua"
"1",0,0.621261926270545,0.621261926270545,0.621261926270545,0.621261926270545,0.621261926270545,0.621261926270545,0.621261926270545,0.621261926270545,0.621261926270545,0.621261926270545
"2",0.8,0.659291224668583,0.659291224668583,0.659291224668583,0.679752299198244,0.654214781459975,0.628931821740407,0.64335512615881,0.624848154639194,0.613083141791898,0.553705605973604
"3",0.825,0.659291224668583,0.659291224668583,0.659291224668583,0.659291224668583,0.654214781459975,0.624848154639194,0.636690290495144,0.624848154639194,0.60250964081749,0.553705605973604
"4",0.85,0.612692489055784,0.612692489055784,0.633964983287415,0.648146953406397,0.654214781459975,0.635079637574742,0.636690290495144,0.646305610287678,0.60250964081749,0.477278752105097
"5",0.875,0.612692489055784,0.612692489055784,0.612692489055784,0.612692489055784,0.638322376498361,0.545075582154717,0.574396929282955,0.531354344818014,0.62457685714019,0.477278752105097
"6",0.9,0.583541875277998,0.583541875277998,0.612692489055784,0.583541875277998,0.638322376498361,0.418008253042312,0.519824396100872,0.531354344818014,0.62457685714019,NA
"7",0.925,0.418008253042312,0.418008253042312,0.418008253042312,0.814627744128522,0.552213042298083,0.418008253042312,0.418008253042312,0.418008253042312,0.58899570178244,NA
"8",0.95,NA,NA,NA,NA,NA,0.418008253042312,NA,0.418008253042312,0.829926046180415,NA
"9",0.975,NA,NA,NA,NA,NA,0.418008253042312,NA,0.418008253042312,0.829926046180415,NA
"10",0.99,NA,NA,NA,NA,NA,NA,NA,NA,0.829926046180415,NA
