"","Quantile","tot_income","tot_sales","Vbp","matprima","tot_capital_val","tot_wages","totalpeoc","totremun","cant_ener","cant_agua"
"1",0,0.610883228828012,0.610883228828012,0.610883228828012,0.610883228828012,0.610883228828012,0.610883228828012,0.610883228828012,0.610883228828012,0.610883228828012,0.610883228828012
"2",0.8,NA,0.796674415463335,NA,NA,0.712582195147606,0.615748147360957,0.529098117568654,0.615748147360957,0.796674415463335,0.881949895637434
"3",0.825,NA,NA,NA,NA,NA,0.615748147360957,NA,0.615748147360957,0.796674415463335,0.976353204417268
"4",0.85,NA,NA,NA,NA,NA,0.649244894886944,NA,0.649244894886944,NA,0.976353204417268
"5",0.875,NA,NA,NA,NA,NA,0.796674415463335,NA,0.796674415463335,NA,0.976353204417268
"6",0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.976353204417268
"7",0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
