"","Quantile","tot_income","tot_sales","Vbp","matprima","tot_capital_val","tot_wages","totalpeoc","totremun","cant_ener","cant_agua"
"1",0,0.560201965228629,0.560201965228629,0.560201965228629,0.560201965228629,0.560201965228629,0.560201965228629,0.560201965228629,0.560201965228629,0.560201965228629,0.560201965228629
"2",0.8,0.768632450106998,0.768632450106998,0.768632450106998,0.768632450106998,0.768632450106998,0.768632450106998,0.768632450106998,0.768632450106998,0.697907103517936,0.70033987299311
"3",0.825,0.768632450106998,0.768632450106998,0.768632450106998,0.794687092702909,0.768632450106998,0.768632450106998,0.794687092702909,0.768632450106998,0.697907103517936,0.70033987299311
"4",0.85,0.794687092702909,0.794687092702909,0.794687092702909,0.794687092702909,0.768632450106998,0.794687092702909,0.782707819682014,0.725100664930837,0.70033987299311,NA
"5",0.875,0.794687092702909,0.794687092702909,0.794687092702909,0.794687092702909,0.768632450106998,0.740379291327638,0.782707819682014,0.740379291327638,0.70033987299311,NA
"6",0.9,0.794687092702909,0.794687092702909,0.794687092702909,0.794687092702909,0.792845690087243,0.740379291327638,0.782707819682014,0.740379291327638,0.70033987299311,NA
"7",0.925,0.740379291327638,0.782707819682014,0.740379291327638,0.740379291327638,0.792845690087243,0.782707819682014,0.782707819682014,0.740379291327638,NA,NA
"8",0.95,NA,NA,NA,0.782707819682014,0.695482784750122,0.782707819682014,NA,0.782707819682014,NA,NA
"9",0.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
