"","Quantile","tot_income","tot_sales","Vbp","matprima","tot_capital_val","tot_wages","totalpeoc","totremun","cant_ener","cant_agua"
"1",0,0.543879957865271,0.543879957865271,0.543879957865271,0.543879957865271,0.543879957865271,0.543879957865271,0.543879957865271,0.543879957865271,0.543879957865271,0.543879957865271
"2",0.8,0.555794548662737,NA,NA,NA,0.555794548662737,0.555794548662737,0.481182132161745,0.555794548662737,0.539628811231517,0.529190328797933
"3",0.825,NA,NA,NA,NA,0.555794548662737,0.555794548662737,0.555794548662737,0.555794548662737,0.520034177445134,0.552504631218469
"4",0.85,NA,NA,NA,NA,0.555794548662737,0.555794548662737,0.555794548662737,0.555794548662737,0.599525106107652,0.543000411911361
"5",0.875,NA,NA,NA,NA,0.555794548662737,0.555794548662737,0.555794548662737,0.555794548662737,0.599525106107652,0.623871965800233
"6",0.9,NA,NA,NA,NA,0.555794548662737,NA,0.555794548662737,NA,0.538257347780637,0.600788104715866
"7",0.925,NA,NA,NA,NA,NA,NA,NA,NA,0.555794548662737,0.600788104715866
"8",0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69909761768987
"9",0.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
