Productivity,μ_e-μ_c,Std. Err.,t,p-value
True,0.08520150853505053,0.042225894490178564,2.017754971534535,0.9779529631650623
Estimated (OLS),-0.4512082719777949,0.06973364528702643,-6.470452966005203,1.0685082389133705e-10
